Date,Country,ConfirmedCases,TotalTests,Hospitalized,UCI,Deaths,Recovered
02/03/2020,Portugal,2,NaN,NaN,NaN,0,0
03/03/2020,Portugal,4,101,4,NaN,0,0
04/03/2020,Portugal,6,117,6,NaN,0,0
05/03/2020,Portugal,9,147,9,NaN,0,0
06/03/2020,Portugal,13,181,13,NaN,0,0
07/03/2020,Portugal,21,224,21,NaN,0,0
08/03/2020,Portugal,30,281,30,NaN,0,0
09/03/2020,Portugal,39,339,38,NaN,0,0
10/03/2020,Portugal,41,375,40,NaN,0,0
11/03/2020,Portugal,59,471,57,NaN,0,0
12/03/2020,Portugal,78,637,69,NaN,0,0
13/03/2020,Portugal,112,1308,107,NaN,0,0
14/03/2020,Portugal,169,1704,114,10,0,1
15/03/2020,Portugal,245,2271,139,9,0,2
16/03/2020,Portugal,331,2908,139,18,1,3
17/03/2020,Portugal,448,4030,206,17,1,3
18/03/2020,Portugal,642,5067,89,20,2,3
19/03/2020,Portugal,785,6061,89,20,3,3
20/03/2020,Portugal,1020,7732,126,26,6,5
21/03/2020,Portugal,1280,9854,156,35,12,5
22/03/2020,Portugal,1600,11779,169,41,14,5
23/03/2020,Portugal,2060,13674,201,47,23,14
24/03/2020,Portugal,2362,15474,203,48,30,22
25/03/2020,Portugal,2995,21155,276,61,43,22
26/03/2020,Portugal,3544,22257,191,61,60,43
27/03/2020,Portugal,4268,25431,354,71,76,43
28/03/2020,Portugal,5170,32754,418,89,100,43
29/03/2020,Portugal,5962,38042,486,138,119,43
30/03/2020,Portugal,6408,44206,571,164,140,43
31/03/2020,Portugal,7443,52086,627,188,160,43
01/04/2020,Portugal,8251,59457,726,230,187,43
02/04/2020,Portugal,9034,66895,1042,240,209,68
03/04/2020,Portugal,9886,74377,1058,245,246,68
04/04/2020,Portugal,10524,81087,1075,251,266,75
05/04/2020,Portugal,11278,86370,1084,267,295,75
06/04/2020,Portugal,11730,91794,1099,270,311,140
07/04/2020,Portugal,12442,99730,1180,271,345,184
08/04/2020,Portugal,13141,104886,1211,245,380,196
09/04/2020,Portugal,13956,115158,1173,241,409,205
